words	0	mux	area	width	height	tcycle	ReadPowTyp	WritePowTyp	leakage
14336	8	28	189428.1984	423.36	447.44	3.39	9.021	10.375	1450.2268
28672	8	28	348496.1536	423.92	822.08	3.892	9.919	11.583	2466.893
57344	8	28	667010.8928	424.48	1571.36	5.467	11.748	14.001	4500.1759
114688	8	28	1304957.808	425.04	3070.2	12.822	16.416	19.951	8566.7714
7168	16	28	196286.552	754.6	260.12	3.155	12.778	14.863	1284.8891
14336	16	28	337888.7904	755.16	447.44	3.429	13.324	15.561	1858.6128
28672	16	28	621262.2976	755.72	822.08	3.934	14.426	17.024	3003.4048
57344	16	28	1188388.1408	756.28	1571.36	5.513	16.528	19.872	5292.9789
114688	16	28	2323650.168	756.84	3070.2	12.872	21.506	26.301	9872.1084
7168	32	28	368683.6832	1417.36	260.12	3.272	22.655	26.326	1969.8712
14336	32	28	634434.1248	1417.92	447.44	3.542	23.385	27.319	2673.0594
28672	32	28	1166104.0384	1418.48	822.08	4.052	24.859	29.311	4074.1162
57344	32	28	2229822.6944	1419.04	1571.36	5.613	27.469	32.923	6876.2111
114688	32	28	4358455.92	1419.6	3070.2	12.978	33.12	40.416	12480.3987
7168	64	28	759713.4048	2743.44	276.92	3.675	46.622	55.386	3337.3824
14336	64	28	1273874.56	2744.0	464.24	3.949	47.809	56.928	4299.5183
28672	64	28	2302356.4928	2744.56	838.88	4.458	49.954	59.902	6213.1113
57344	64	28	4359689.7792	2745.12	1588.16	5.846	53.638	65.079	10040.2709
114688	64	28	8475914.16	2745.68	3087.0	13.217	60.609	74.65	17694.6286
7168	65	28	776950.272	2797.2	277.76	3.704	46.55	55.981	3593.4382
14336	65	28	1301182.2208	2797.76	465.08	3.98	47.799	57.638	4768.3812
28672	65	28	2349805.2704	2798.32	839.72	4.487	50.008	60.692	7107.4014
57344	65	28	4447420.32	2798.88	1589.0	5.857	53.78	65.948	11785.4407
114688	65	28	8644222.8096	2799.44	3087.84	13.229	61.203	75.94	21141.5303
7168	73	28	890058.2656	3128.72	284.48	3.835	52.839	64.461	3935.1048
14336	73	28	1476394.304	3129.28	471.8	4.111	54.192	66.182	5174.7905
28672	73	28	2649221.7696	3129.84	846.44	4.62	56.576	69.425	7641.9409
57344	73	28	4995241.888	3130.4	1595.72	5.945	60.605	75.094	12576.278
114688	73	28	9688943.5776	3130.96	3094.56	13.293	68.333	85.606	22444.8026
8192	8	32	124836.7904	479.92	260.12	3.119	8.701	9.94	1024.9415
16384	8	32	214985.9712	480.48	447.44	3.392	9.172	10.532	1573.3872
32768	8	32	395453.3632	481.04	822.08	3.895	10.093	11.737	2668.6946
65536	8	32	756766.976	481.6	1571.36	5.469	11.918	14.163	4859.2698
131072	8	32	1480327.632	482.16	3070.2	12.828	16.592	20.126	9240.4664
8192	16	32	223380.6512	858.76	260.12	3.16	13.132	15.183	1415.216
16384	16	32	384494.1408	859.32	447.44	3.433	13.683	15.937	2037.6818
32768	16	32	706890.1504	859.88	822.08	3.938	14.778	17.373	3279.4289
65536	16	32	1352060.9984	860.44	1571.36	5.518	16.886	20.203	5762.8879
131072	16	32	2643442.2	861.0	3070.2	12.881	21.852	26.611	10729.8312
8192	32	32	420468.3728	1616.44	260.12	3.285	23.459	27.226	2193.3747
16384	32	32	723510.48	1617.0	447.44	3.557	24.246	28.289	2963.8818
32768	32	32	1329763.7248	1617.56	822.08	4.067	25.682	30.27	4498.5061
65536	32	32	2542649.0432	1618.12	1571.36	5.622	28.295	33.854	7567.7151
131072	32	32	4969671.336	1618.68	3070.2	12.99	33.934	41.368	13706.2002
8192	64	32	867335.5936	3132.08	276.92	3.697	48.204	58.365	3747.3293
16384	64	32	1454296.7936	3132.64	464.24	3.972	49.399	59.865	4813.9179
32768	64	32	2628378.816	3133.2	838.88	4.479	51.551	62.895	6934.2724
65536	64	32	4976912.2816	3133.76	1588.16	5.865	55.242	68.036	11175.0221
131072	64	32	9675645.84	3134.32	3087.0	13.238	62.192	77.62	19656.4379
12288	8	48	184123.3408	707.84	260.12	3.144	9.349	10.586	1347.7321
24576	8	48	316966.496	708.4	447.44	3.417	9.806	11.17	2053.997
49152	8	48	582821.8368	708.96	822.08	3.92	10.735	12.372	3463.889
