words	0	mux	area	width	height	tcycle	ReadPowTyp	WritePowTyp	leakage
65536	16	64	1359600.648	1694.84	802.2	4.049	16.685	19.642	5130.532
65536	31	64	2503439.008	3115.28	803.6	4.438	28.424	35.68	7255.3976
16384	32	64	773645.0064	3209.08	241.08	3.677	26.997	33.858	3582.3007
32768	32	64	1375009.776	3209.64	428.4	3.955	27.79	34.862	4858.8804
24576	8	96	333995.5248	1391.88	239.96	3.217	10.639	12.213	2108.7253
49152	8	96	594961.7632	1392.44	427.28	3.494	11.098	12.808	3256.0253
98304	8	96	1117464.6	1393.0	802.2	4.006	12.009	13.993	5544.759
196608	8	96	2162080.4688	1393.56	1551.48	5.393	13.855	16.432	10122.1868
196608	10	96	2602576.6704	1677.48	1551.48	5.426	15.417	18.47	10761.7367
24576	16	96	606714.864	2528.4	239.96	3.501	16.5	20.243	3126.4167
49152	16	96	1080574.0288	2528.96	427.28	3.782	17.083	20.967	4496.3248
98304	16	96	2029180.944	2529.52	802.2	4.295	18.176	22.42	7224.3512
24576	21	96	777172.8496	3238.76	239.96	3.722	20.375	26.063	3762.4785
49152	21	96	1384096.6496	3239.32	427.28	4.0	21.029	26.856	5271.4992
98304	21	96	2599031.736	3239.88	802.2	4.513	22.228	28.495	8274.1076
253952	8	124	2780686.5744	1792.28	1551.48	5.454	14.541	17.596	12573.4873
126976	16	124	2615204.088	3260.04	802.2	4.592	19.197	24.794	9048.8893
32768	8	128	443378.8912	1847.72	239.96	3.346	11.407	13.53	2711.3757
65536	8	128	789733.0784	1848.28	427.28	3.624	11.864	14.121	4174.3306
131072	8	128	1483139.448	1848.84	802.2	4.135	12.782	15.325	7092.2335
131072	15	128	2546696.208	3174.64	802.2	4.535	18.498	23.787	9039.9177
32768	16	128	807004.6768	3363.08	239.96	3.809	17.655	22.964	4054.6869
65536	16	128	1437216.0992	3363.64	427.28	4.088	18.236	23.679	5814.5318
49152	8	192	662145.624	2759.4	239.96	3.693	12.738	16.152	3916.6655
